Name,Name Stripped,FoundryId,Type,Origin,Search,HammergenId,Mapped,Note
An Invitation,aninvitation,1MUSq1xRyHCaIuAL,prayer,foundry,aninvitation,5f9353b65042d9bbac90715f,TRUE,
Anchorite's Endurance,anchoritesendurance,uMECZBuDnb3qkc7k,prayer,foundry,anchoritesendurance,5f9362405042d9bbac907162,TRUE,
Animal Instincts,animalinstincts,SZ88OXYo6F2q3vWb,prayer,foundry,animalinstincts,5f94142688af9b12a1ea0a51,TRUE,
As Verena is My Witness,asverenaismywitness,jXyyzYWid3nruQmc,prayer,foundry,asverenaismywitness,5f941dbd5b4b5f9347adcdab,TRUE,
Balm to a Wounded Mind,balmtoawoundedmind,8LcAFB6W37LDN70K,prayer,foundry,balmtoawoundedmind,5f936295921c53cf2df4f966,TRUE,
Beacon of Righteous Virtue,beaconofrighteousvirtue,Dk0zjtcANtahntHx,prayer,foundry,beaconofrighteousvirtue,5f9365c95042d9bbac907164,TRUE,
Becalm,becalm,Geo6EAR39JzaP9P2,prayer,foundry,becalm,5f90af6b35c2e89b5b1b12a0,TRUE,
Bitter Catharsis,bittercatharsis,UtgGJK46K08TZpP5,prayer,foundry,bittercatharsis,5f93634d921c53cf2df4f967,TRUE,
Blazing Sun,blazingsun,Q91bWCEn0gt33fGT,prayer,foundry,blazingsun,5f9350615042d9bbac90715b,TRUE,
Blessing of Battle,blessingofbattle,ElmLfnrXliStS9CP,prayer,foundry,blessingofbattle,5f8e13abd1949bb61bf0d3a5,TRUE,
Blessing of Breath,blessingofbreath,TKHvOsihelBStO6i,prayer,foundry,blessingofbreath,5f8e13e62b98839545650556,TRUE,
Blessing of Charisma,blessingofcharisma,FElNQGNiPzaOwwKT,prayer,foundry,blessingofcharisma,5f8e1456b771fd6aa7342dec,TRUE,
Blessing of Conscience,blessingofconscience,tEMwdlHM8A40h6HE,prayer,foundry,blessingofconscience,5f90ac5c3d895d8423328d28,TRUE,
Blessing of Courage,blessingofcourage,Cg2Q3TV66cpmheHS,prayer,foundry,blessingofcourage,5f90ac7135c2e89b5b1b129a,TRUE,
Blessing of Finesse,blessingoffinesse,OkKWAfnMiHfxhTnB,prayer,foundry,blessingoffinesse,5f90ac8963028a6f2a6f7d23,TRUE,
Blessing of Fortune,blessingoffortune,iIfYOlNrLb0uiV8c,prayer,foundry,blessingoffortune,5f90acd635c2e89b5b1b129b,TRUE,
Blessing of Grace,blessingofgrace,maUl7MoLvuvTOhM0,prayer,foundry,blessingofgrace,5f90acec3d895d8423328d29,TRUE,
Blessing of Hardiness,blessingofhardiness,0r3moMIHXsBrcOyh,prayer,foundry,blessingofhardiness,5f90ad7263028a6f2a6f7d24,TRUE,
Blessing of Healing,blessingofhealing,C92dpJPRYpkZFsGu,prayer,foundry,blessingofhealing,5f90ad8d3d895d8423328d2a,TRUE,
Blessing of Might,blessingofmight,KSDrXcieyRc37YI7,prayer,foundry,blessingofmight,5f90adbc63028a6f2a6f7d25,TRUE,
Blessing of Protection,blessingofprotection,K5DE9cceinUTIrem,prayer,foundry,blessingofprotection,5f90ae243d895d8423328d2b,TRUE,
Blessing of Recuperation,blessingofrecuperation,Jkt465WPdRcejLwl,prayer,foundry,blessingofrecuperation,5f90ae8663028a6f2a6f7d26,TRUE,
Blessing of Righteousness,blessingofrighteousness,2WN0muIB2BFd4kBO,prayer,foundry,blessingofrighteousness,5f90aea03d895d8423328d2c,TRUE,
Blessing of Savagery,blessingofsavagery,eBRjKAF6U0yR0KK8,prayer,foundry,blessingofsavagery,5f90aee035c2e89b5b1b129d,TRUE,
Blessing of Tenacity,blessingoftenacity,GvaOlWY8iD5CO1WB,prayer,foundry,blessingoftenacity,5f90aef735c2e89b5b1b129e,TRUE,
Blessing of The Hunt,blessingofthehunt,By5dc8Q7ZAGpr177,prayer,foundry,blessingofthehunt,5f90ada135c2e89b5b1b129c,TRUE,
Blessing of Wisdom,blessingofwisdom,FRkIz2sR7ZC92W2G,prayer,foundry,blessingofwisdom,5f90af1535c2e89b5b1b129f,TRUE,
Blessing of Wit,blessingofwit,tMocig1z9dHKNiCT,prayer,foundry,blessingofwit,5f90af2863028a6f2a6f7d27,TRUE,
Blind Justice,blindjustice,R6Q16WOXcPfaHnOb,prayer,foundry,blindjustice,5f941e5d88af9b12a1ea0a56,TRUE,
Cat's Eyes,catseyes,Bo3ukcaipFNb7Ljl,prayer,foundry,catseyes,5f935440921c53cf2df4f961,TRUE,
Death Mask,deathmask,0AQheUiRtffqfKNg,prayer,foundry,deathmask,5f92062d226f481f597a56ba,TRUE,
Destroy Undead,destroyundead,sdSy4k7ygDhAjSSX,prayer,foundry,destroyundead,5f9207898d7a4ff53f5ff3a4,TRUE,
